description,vendor,amount,date
Monthly Zoom video conferencing subscription,Zoom,$149.99,2025-06-05
AWS cloud computing services,Amazon Web Services,$1240.00,2025-06-01
Team lunch at The Capital Grille,The Capital Grille,$320.00,2025-06-03
Flight to NYC for client meeting,Delta Airlines,$580.00,2025-06-07
Office printer paper and pens,Staples,$89.50,2025-06-02
Google Workspace Business Plus,Google,$18.00,2025-06-01
Legal counsel retainer fee,Morrison & Foerster LLP,$3500.00,2025-06-04
LinkedIn Premium Recruiter license,LinkedIn,$1199.88,2025-06-01
Udemy Business team training plan,Udemy,$399.00,2025-06-01
Electricity bill - office space,Con Edison,$412.00,2025-06-05
